commander,drawrate (%),winrate (%),lossrate (%),non_draw_winrate (%),#games
"Kraum, Ludevic's Opus / Tymna the Weaver",14.01,27.64,58.35,32.14,2862
"Kinnan, Bonder Prodigy",14.84,22.82,62.35,26.79,1867
"Tivit, Seller of Secrets",16.85,24.59,58.56,29.57,1810
"Najeela, the Blade-Blossom",12.85,24.07,63.08,27.62,1728
Unknown Commander,9.76,18.11,72.14,20.07,1353
"Sisay, Weatherlight Captain",13.96,26.69,59.35,31.02,1139
"Atraxa, Grand Unifier",15.58,25.53,58.89,30.24,995
"Rograkh, Son of Rohgahh / Silas Renn, Seeker Adept",12.90,25.16,61.95,28.88,946
"Bruse Tarl, Boorish Herder / Thrasios, Triton Hero",15.80,23.00,61.20,27.31,848
"Winota, Joiner of Forces",11.17,18.11,70.72,20.39,806
"Yuriko, the Tiger's Shadow",12.55,20.78,66.67,23.77,765
"Thrasios, Triton Hero / Tymna the Weaver",17.87,20.96,61.17,25.52,649
"Kenrith, the Returned King",16.46,25.62,57.92,30.67,644
"Dargo, the Shipwrecker / Thrasios, Triton Hero",13.71,26.25,60.03,30.43,598
"Rocco, Cabaretti Caterer",12.15,21.92,65.93,24.95,543
"Tayam, Luminous Enigma",16.02,22.07,61.91,26.28,512
"K'rrik, Son of Yawgmoth",8.18,19.56,72.26,21.30,501
"Malcolm, Keen-Eyed Navigator / Tymna the Weaver",15.33,22.22,62.44,26.25,450
"Malcolm, Keen-Eyed Navigator / Vial Smasher the Fierce",15.38,23.98,60.63,28.34,442
"Magda, Brazen Outlaw",10.56,23.00,66.43,25.72,426
"Jeska, Thrice Reborn / Tymna the Weaver",11.74,23.72,64.55,26.87,409
"Kraum, Ludevic's Opus / Tevesh Szat, Doom of Fools",18.41,27.61,53.98,33.84,402
"Krark, the Thumbless / Sakashima of a Thousand Faces",13.02,21.05,65.93,24.20,361
"Niv-Mizzet, Parun",15.67,25.93,58.40,30.74,351
"Korvold, Fae-Cursed King",10.34,23.28,66.38,25.96,348
"Malcolm, Keen-Eyed Navigator / Tana, the Bloodsower",9.52,25.60,64.88,28.29,336
"Ob Nixilis, Captive Kingpin",11.21,19.70,69.09,22.18,330
"Dihada, Binder of Wills",12.69,25.70,61.61,29.43,323
"Talion, the Kindly Lord",21.07,20.36,58.57,25.79,280
